Scorecard ID,Candidate ID,Working Document Slot,Chapter Number,Chapter Title,Chapter Slot,Date,Title,Lane,Editorial Role,Priority,Work Priority Score,Final Readiness Score,Readiness Tier,Open Gate Count,Open Gates,Main Blocker,Compiler Queue Rank,Earliest Useful Action,Next 30 Minute Task,Next Archive Task,Next Desk Task,Source Copy Status,Receipt QA Status,Duplicate Status,Citation Status,Selection Status,Boundary Status,Annotation Status,Promotion Recommendation,Annotation Type,Episode IDs,Episode Titles,Episode Promotion Tests,Cross References To Other Candidates,Repository,Record Group Or Collection,Source Locator,Suggested Source Folder,Related Pull Sheets,Related Docket,Request Work Blocks,Catalog URL,FRUS Search URL,Reviewer,Review Date,Notes
READY-041,DOC50-008,WDS-031,4,Hemisphere Information and Cultural Exchange,CH4-S05,"September 21, 1944",Costa Rica telegram enclosing Nelson Rockefeller message for Teodoro Picado,Hemisphere and Cultural Exchange,State cable / implementation,Medium,23,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,41,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-2144; M973 roll 607, image 0100 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Costa%20Rica%20telegram%20enclosing%20Nelson%20Rockefeller%20message%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-001; DOC50-003; DOC50-006; DOC50-007; DOC50-004; DOC50-005; DOC50-002,NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22Teodoro%20Picado%22%20%22Rockefeller%22%20%221944%22,"","",""
READY-042,DOC50-003,WDS-032,4,Hemisphere Information and Cultural Exchange,CH4-S06,"September 22, 1944",Circular to diplomatic officers requesting replies to a motion-picture questionnaire,Hemisphere and Cultural Exchange,State cable / implementation,Medium,23,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,42,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-2244; M973 roll 607, image 0100 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Circular%20diplomatic%20officers%20requesting%20replies%20motion-picture%20questionnaire%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-001; DOC50-006; DOC50-007; DOC50-004; DOC50-005; DOC50-008; DOC50-002,NARA,RG 59,"103.9161/9-2244; M973 roll 607, image 0100",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F9-2244%22,"","",""
READY-043,DOC50-005,WDS-034,4,Hemisphere Information and Cultural Exchange,CH4-S08,"October 20, 1944",Chile telegram reporting that no CIAA transcriptions were then in use,Hemisphere and Cultural Exchange,State cable / implementation,Medium,23,10,Tier 3 - supporting source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,43,Send or batch PULL-002; PULL-007; save source copy to BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch; then run receipt QA.,"Open PULL-002; PULL-007 request row and confirm 103.9161/10-2044; M973 roll 607, image 0110 is in the next archive batch.","When source copy arrives from PULL-002; PULL-007, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Chile%20telegram%20reporting%20that%20CIAA%20transcriptions%20were%20OWI%20State%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Implementation annotation,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America","EPI-009: Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",DOC50-001; DOC50-003; DOC50-006; DOC50-007; DOC50-004; DOC50-008; DOC50-002,NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,TRIP-002: First archive pass: RG 59 Central Decimal source copies | TRIP-007: Fourth archive pass: Latin America RG 84/RG 229 corroboration,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22103.9161%2F10-2044%22,"","",""
READY-044,DOC50-036,WDS-018,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S08,"June 30, 1944",Weekly Propaganda Directive Office of War Information Germany,OWI Overseas and VOA,Boundary directive,High,21,10,Tier 4 - boundary/context source-copy check,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,44,Send or batch PULL-010; save source copy to BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch; then run receipt QA.,Open PULL-010 request row and confirm NAID 2149194 is in the next archive batch.,"When source copy arrives from PULL-010, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Weekly%20Propaganda%20Germany%20Office%20of%20War%20Information%20propaganda%20directive%201944 result count and final duplicate ruling.,Needed,Boundary review before promotion; do not advance until foreign-policy significance is proven.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Boundary review required,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Boundary review before promotion,Boundary/exclusion annotation,EPI-005,Germany occupation information policy and basic themes,EPI-005: Promote as chapter spine only when source copies show policy authority and a postwar/occupation handoff link.,DOC50-022; DOC50-020; DOC50-021,NARA,RG 165,NAID 2149194,BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-010: Boundary pass: RG 165 propaganda directive review,https://catalog.archives.gov/id/2149194,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Germany%22,"","",""
READY-045,DOC50-046,WDS-005,1,Prewar Information Policy and Predecessor Controls,CH1-S01,"November 19, 1942","Memorandum to Philleo Nash from Leo C. Rosten, with attachment",Prewar Information Policy,Boundary memo,Medium,18,10,Tier 4 - boundary/context source-copy check,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,45,Send or batch PULL-009; save source copy to BLOCK-05 - PULL-009 - Philleo Nash and Leo Rosten rumor-control boundary review; then run receipt QA.,Open PULL-009 request row and confirm NAID 509549657 is in the next archive batch.,"When source copy arrives from PULL-009, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Memorandum%20Philleo%20Nash%20Rosten%20attachment%20Office%20of%20War%20Information%201942 result count and final duplicate ruling.,Needed,Boundary review before promotion; do not advance until foreign-policy significance is proven.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Boundary review before promotion,Boundary/exclusion annotation,EPI-002,"Domestic rumor, public-opinion, and boundary evidence",EPI-002: Hold as boundary context unless a source copy ties the rumor/public-opinion evidence to foreign information policy or diplomatic action.,DOC50-047,FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549657,BLOCK-05 - PULL-009 - Philleo Nash and Leo Rosten rumor-control boundary review,PULL-009,DKT-001; DKT-005; DKT-008,TRIP-009: FDR Library pass: White House and Philleo Nash folder source copies,https://catalog.archives.gov/id/509549657,https://history.state.gov/search?q=%22Memorandum%20to%20Philleo%20Nash%20from%20Leo%20C.%20Rosten%22,"","",""
READY-046,DOC50-038,WDS-014,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S04,1944-1945,Weekly Propaganda Directive Office of War Information Sweden,OWI Overseas and VOA,Boundary directive,Medium,13,10,Tier 4 - boundary/context source-copy check,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,46,Send or batch PULL-010; save source copy to BLOCK-03 - PULL-006 - Neutral Europe post-file sweep; then run receipt QA.,Open PULL-010 request row and confirm NAID 2149198 is in the next archive batch.,"When source copy arrives from PULL-006; PULL-010, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Weekly%20Propaganda%20Sweden%20Office%20of%20War%20Information%20propaganda%20directive%201944 result count and final duplicate ruling.,Needed,Boundary review before promotion; do not advance until foreign-policy significance is proven.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Boundary review required,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Boundary review before promotion,Boundary/exclusion annotation,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-027; DOC50-029; DOC50-034; DOC50-011; DOC50-014; DOC50-015; DOC50-017; DOC50-039; DOC50-040,NARA,RG 165,NAID 2149198,BLOCK-03 - PULL-006 - Neutral Europe post-file sweep,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-010: Boundary pass: RG 165 propaganda directive review,https://catalog.archives.gov/id/2149198,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Sweden%22,"","",""
READY-047,DOC50-039,WDS-015,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S05,1944-1945,Weekly Propaganda Directive Office of War Information Iberia,OWI Overseas and VOA,Boundary directive,Medium,13,10,Tier 4 - boundary/context source-copy check,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,47,Send or batch PULL-010; save source copy to BLOCK-03 - PULL-006 - Neutral Europe post-file sweep; then run receipt QA.,Open PULL-010 request row and confirm NAID 2149195 is in the next archive batch.,"When source copy arrives from PULL-006; PULL-010, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Weekly%20Propaganda%20Iberia%20Office%20of%20War%20Information%20propaganda%20directive%201944 result count and final duplicate ruling.,Needed,Boundary review before promotion; do not advance until foreign-policy significance is proven.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Boundary review required,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Boundary review before promotion,Boundary/exclusion annotation,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-027; DOC50-029; DOC50-034; DOC50-011; DOC50-014; DOC50-015; DOC50-017; DOC50-038; DOC50-040,NARA,RG 165,NAID 2149195,BLOCK-03 - PULL-006 - Neutral Europe post-file sweep,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-010: Boundary pass: RG 165 propaganda directive review,https://catalog.archives.gov/id/2149195,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Iberia%22,"","",""
READY-048,DOC50-040,WDS-016,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S06,1944-1945,"Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East",OWI Overseas and VOA,Boundary directive,Medium,13,10,Tier 4 - boundary/context source-copy check,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,48,Send or batch PULL-010; save source copy to BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch; then run receipt QA.,Open PULL-010 request row and confirm NAID 2149196 is in the next archive batch.,"When source copy arrives from PULL-010, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Weekly%20Propaganda%20Norway%20Netherlands%20Middle%20East%20Office%20of%20War%20Information%20propaganda%20directive%201944 result count and final duplicate ruling.,Needed,Boundary review before promotion; do not advance until foreign-policy significance is proven.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Boundary review required,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Boundary review before promotion,Boundary/exclusion annotation,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-027; DOC50-029; DOC50-034; DOC50-011; DOC50-014; DOC50-015; DOC50-017; DOC50-038; DOC50-039,NARA,RG 165,NAID 2149196,BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-010: Boundary pass: RG 165 propaganda directive review,https://catalog.archives.gov/id/2149196,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Norway%20Netherlands%20Middle%20East%22,"","",""
READY-049,DOC50-037,WDS-043,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S25,"January 12, 1945",Weekly Propaganda Directive Office of War Information Czechoslovakia,OWI Overseas and VOA,Boundary directive,Medium,13,10,Tier 4 - boundary/context source-copy check,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,49,Send or batch PULL-010; save source copy to BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch; then run receipt QA.,Open PULL-010 request row and confirm NAID 2149191 is in the next archive batch.,"When source copy arrives from PULL-010, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Weekly%20Propaganda%20Czechoslovakia%20Office%20of%20War%20Information%20propaganda%20directive%201945 result count and final duplicate ruling.,Needed,Boundary review before promotion; do not advance until foreign-policy significance is proven.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Boundary review required,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Boundary review before promotion,Boundary/exclusion annotation,EPI-004,"Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance",EPI-004: Promote policy directives only after one State or post record shows why the theme mattered diplomatically.,DOC50-019; DOC50-026; DOC50-025; DOC50-030,NARA,RG 165,NAID 2149191,BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-010: Boundary pass: RG 165 propaganda directive review,https://catalog.archives.gov/id/2149191,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Czechoslovakia%22,"","",""
READY-050,DOC50-047,WDS-008,1,Prewar Information Policy and Predecessor Controls,CH1-S02,October 1942-April 1943,"Letter to Warren B. Walsh from Leo C. Rosten, with attachments",Prewar Information Policy,Boundary memo,Low,5,10,Tier 4 - boundary/context source-copy check,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,50,Send or batch PULL-009; save source copy to BLOCK-05 - PULL-009 - Philleo Nash and Leo Rosten rumor-control boundary review; then run receipt QA.,Open PULL-009 request row and confirm NAID 509549751 is in the next archive batch.,"When source copy arrives from PULL-009, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Letter%20Warren%20Walsh%20Rosten%20attachments%20Office%20of%20War%20Information%201942 result count and final duplicate ruling.,Needed,Boundary review before promotion; do not advance until foreign-policy significance is proven.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Boundary review required,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Boundary review before promotion,Boundary/exclusion annotation,EPI-002,"Domestic rumor, public-opinion, and boundary evidence",EPI-002: Hold as boundary context unless a source copy ties the rumor/public-opinion evidence to foreign information policy or diplomatic action.,DOC50-046,FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549751,BLOCK-05 - PULL-009 - Philleo Nash and Leo Rosten rumor-control boundary review,PULL-009,DKT-001; DKT-005; DKT-008,TRIP-009: FDR Library pass: White House and Philleo Nash folder source copies,https://catalog.archives.gov/id/509549751,https://history.state.gov/search?q=%22Letter%20to%20Warren%20B.%20Walsh%20from%20Leo%20C.%20Rosten%22,"","",""
