Assembly ID,Working Document Slot,Final FRUS Number,Chapter Number,Chapter Title,Chapter Slot,Section Heading,Candidate ID,Chronology ID,Decision ID,Packet ID,Duplicate ID,Citation ID,Sort Key,Display Date,Title,Lane,Editorial Role,Assembly Function,Priority,Assembly Recommendation,Placement Rationale,Selection Gate,Source Copy Gate,Duplicate Gate,Citation Gate,Authority Gate,Evidence Gate,Boundary Gate,Gate Summary,Draft Headnote Or Annotation Task,Related Pull Sheets,Related Docket,Source Locator,Catalog URL,FRUS Search URL,Source Note,Next Assembly Action,Compiler Owner,Assembly Review Date,Notes
ASM-041,WDS-041,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S23,"Embassy, outpost, and field implementation reports",DOC50-018,CHR-041,SEL-018,PKT-018,DUP-041,CITE-041,1944-12-06,"December 6, 1944","New Zealand report on informational activities on behalf of OWI, September-October 1944",OWI Overseas and VOA,State cable / implementation,Implementation or reaction document,Medium,Hold pending source-copy and duplicate proof,"Use to prove that Washington guidance reached posts, outposts, media desks, or foreign audiences.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain originating post or office, Washington policy link, local implementation, foreign reaction, and why the cable belongs in a public-diplomacy FRUS volume.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"103.9166/12-644; M973 roll 607, image 0750",https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22informational%20activities%22%20%22Office%20of%20War%20Information%22%20%22New%20Zealand%22,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0750.","Request the underlying Central Decimal File source copy, then record author/post, recipient, enclosures, routing, and exact FRUS duplicate proof. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-042,WDS-042,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S24,OWI long-range policy and broadcast guidance,DOC50-027,CHR-042,SEL-027,PKT-027,DUP-042,CITE-042,1944-12-06,"December 6, 1944",Long-Range Guidance-Switzerland,OWI Overseas and VOA,Policy guidance,Policy directive / guidance document,High,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732402,https://catalog.archives.gov/id/4732402,https://history.state.gov/search?q=%22Long-Range%20Guidance-Switzerland%22,"NARA RG 208, Record Set of Policy Directives, Long-Range Guidance-Switzerland-December 6, 1944, NAID 4732402.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-043,WDS-043,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S25,Psychological-warfare and directive boundary checks,DOC50-037,CHR-043,SEL-037,PKT-037,DUP-043,CITE-043,1945-01-12,"January 12, 1945",Weekly Propaganda Directive Office of War Information Czechoslovakia,OWI Overseas and VOA,Boundary directive,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149191,https://catalog.archives.gov/id/2149191,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Czechoslovakia%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Czechoslovakia January 12, 1945, NAID 2149191.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-044,WDS-044,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S26,OWI long-range policy and broadcast guidance,DOC50-035,CHR-044,SEL-035,PKT-035,DUP-044,CITE-044,1945-01-30,"January 30, 1945",Long-Range Policy Directive for Thailand,OWI Overseas and VOA,Policy guidance,Policy directive / guidance document,Medium,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732400,https://catalog.archives.gov/id/4732400,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive%20for%20Thailand%22,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive for Thailand-January 30, 1945, NAID 4732400.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-045,WDS-045,Unassigned pending final selection,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S01,"Liberation, occupation, peace-aims, and handoff directives",DOC50-025,CHR-045,SEL-025,PKT-025,DUP-045,CITE-045,1945-02-23,"February 23, 1945",Long-Range Policy Guidance-Poland,Peace Aims and Handoff,Policy guidance,Policy directive / guidance document,High,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732395,https://catalog.archives.gov/id/4732395,https://history.state.gov/search?q=%22Long-Range%20Policy%20Guidance-Poland%22,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Guidance-Poland-February 23, 1945, NAID 4732395.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-046,WDS-046,Unassigned pending final selection,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S02,"Liberation, occupation, peace-aims, and handoff directives",DOC50-024,CHR-046,SEL-024,PKT-024,DUP-046,CITE-046,1945-04-12,"April 12, 1945",Long-Range Policy Directive-Austria,Peace Aims and Handoff,Policy guidance,Policy directive / guidance document,High,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732367,https://catalog.archives.gov/id/4732367,https://history.state.gov/search?q=%22Long-Range%20Policy%20Directive-Austria%22,"NARA RG 208, Record Set of Policy Directives, Long-Range Policy Directive-Austria-April 12, 1945, NAID 4732367.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-047,WDS-047,Unassigned pending final selection,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S03,"Liberation, occupation, peace-aims, and handoff directives",DOC50-023,CHR-047,SEL-023,PKT-023,DUP-047,CITE-047,1945-04-18,"April 18, 1945",Long-Range Directive-France,Peace Aims and Handoff,Policy guidance,Policy directive / guidance document,High,Hold pending source-copy and duplicate proof,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732378,https://catalog.archives.gov/id/4732378,https://history.state.gov/search?q=%22Long-Range%20Directive-France%22,"NARA RG 208, Record Set of Policy Directives, Long-Range Directive-France-April 18, 1945, NAID 4732378.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-048,WDS-048,Unassigned pending final selection,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S04,"Liberation, occupation, peace-aims, and handoff directives",DOC50-020,CHR-048,SEL-020,PKT-020,DUP-048,CITE-048,1945-04-26,"April 26, 1945",Basic Policy Directive for Information in Germany,Peace Aims and Handoff,Policy guidance,Policy directive / guidance document,Critical,Priority promotion review after source copy,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732380,https://catalog.archives.gov/id/4732380,https://history.state.gov/search?q=%22Basic%20Policy%20Directive%20for%20Information%20in%20Germany%22,"NARA RG 208, Record Set of Policy Directives, Basic Policy Directive for Information in Germany-April 26, 1945, NAID 4732380.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-049,WDS-049,Unassigned pending final selection,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S05,"Liberation, occupation, peace-aims, and handoff directives",DOC50-021,CHR-049,SEL-021,PKT-021,DUP-049,CITE-049,1945-05-29,"May 29, 1945",Directive on Basic Themes for Output to Germany,Peace Aims and Handoff,Policy guidance,Policy directive / guidance document,Critical,Priority promotion review after source copy,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.",PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732379,https://catalog.archives.gov/id/4732379,https://history.state.gov/search?q=%22Directive%20on%20Basic%20Themes%20for%20Output%20to%20Germany%22,"NARA RG 208, Record Set of Policy Directives, Directive on Basic Themes for Output to Germany-May 29, 1945, NAID 4732379.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-050,WDS-050,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S11,OIAA radio reaction and operating evidence,DOC50-049,CHR-050,SEL-049,PKT-049,DUP-050,CITE-050,1945-12-31,1945,Radio Division Resume of Operations,Hemisphere and Cultural Exchange,Reception / operations evidence,Reception / operations evidence,High,Itemize file unit before decision,"Use as supporting evidence for reception, monitoring, or operational performance after pairing with a policy document.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,Explain how reception or operations evidence corroborates a policy or implementation document.,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,NAID 2102897,https://catalog.archives.gov/id/2102897,https://history.state.gov/search?q=%22Radio%20Division%20Resume%20of%20Operations%22,"NARA RG 229, Office of Inter-American Affairs, Department of Information, Radio Division, Resume of Operations, NAID 2102897.","Itemize the file unit and pair radio operation or reaction evidence with RG 59/RG 84 State documentation. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
